channel_id,category
UCNkl6sk3xpHcSpIfiuV2AIA,Politics
UC80FWuvIAtY-TRtYuDocfUw,Politics
UCfDsXNyY1iNjUgftIOhg7BA,Politics
UCMeULnWVsuBMo2MpEZs7AHw,Politics
UCLbv0iWDAqgEw60Dn2Rv5CQ,Politics
UCpJMSrOFYkeO7AM-tx_19Mw,Politics
UCLC5Mv8VO-VM8wfrn1Twohw,Politics
UCIIhko3gMRId9cCteX1eu-Q,Politics
UC6d_ptgRNDMHgZocGC6G9lA,Politics
UC4feg3_vUrGepbNH97fV-Iw,Politics
UCAmJvDLNL3-2UGFu_AiSjPg,Politics
UC6uzoOQ3Pitm5uhbdig8GYA,Politics
UCS6qtGykYasxuACtMD75K_w,Politics
UCqFaMBFtHduRRJKVCJhBr9g,Politics
UC3FKwhMnGdubV8oc54EOlDw,Politics
UCtmYmradB7A9J7oyU-TCn4w,Politics
UCgFI65ZKluhoN1osHzhxGDw,Politics
UCNqbJ7zpxAxC2BxPx-xmx6g,Politics
UCHUU8VHKcePqDgkjuX60aUg,Politics
UCYdbKlKigcmLryVWYlLbjTQ,Politics
UCCYNZu_NQIm2-PzMyHg55OQ,Politics
UCAN0E9cZN7n22Ka1-TuVb-Q,Politics
UCX8xD9LlHOZf0dF7yo9mFkw,Politics
UCza7gpgd6heRb8rH4oEBZfA,Politics
UCVvVfg6FUYUtM71nDykgNZA,Politics
UCDe1U0tcuU-UsSJsbSEsGuA,Politics
UC2dhkM2mQXMlIXcd2vMStvQ,Politics
UCL9KXuGkAt5qCfUlMrJayMQ,Politics
UCgIIlSmbGB5Tn9_zzYMCuNQ,Politics
UC8yHePe_RgUBE-waRWy6olw,Politics
UC6oal8R3H4V_yY4-0NpY58Q,Politics
UCG_oqDSlIYEspNpd2H4zWhw,Politics
UC_39VhpzPZyOVrXUeWv04Zg,Politics
UCjrN-o1HlLk22qcauIKDtlQ,Politics
UC90UTL_T6hQoLnWGATfOc8w,Politics
UCueFlCvu9XJI3EbK5s5ocWA,Politics
UCPbiAq3YHoePafGTMzvrTKQ,Politics
UCtvUmxFdt0w8k332djBGRiA,Politics
UCidQ51J5ysCWeGBnLuNvnhQ,Politics
UCT9FuRjodK0Yr8gHJ1KCi_g,Politics
UCECfnRv8lSbn90zCAJWC7cg,Politics
UCmV-bbmjWF4XzublsXRjxiQ,Politics
UCTxDz8sXbnpYAfulQMRFNEQ,Politics
UCaoYKqANdTyW42RBVRF1Zlg,Politics
UCLJNZ7osIjNix4bbkM-rj5w,Politics
UC6ylTkexHwwJo_22V35lx0A,Politics
UCudswRVodQ-GaaMJf1sy-Iw,Politics
UCz5X9oXlFrMnZF3j58CDVgA,Politics
UCFjJES6DbGtb2svNTSZnjqA,Sports
UC0rbVMCStY7IYwwTg4z_EjA,Sports
UChJI9KrjSgPzv_kfX6yuqhA,Sports
UC4NpGzqd6nnntf8ehYC50-A,Sports
UCKKK9zISB9DSgHyEKCoCAAQ,Sports
UCPsZ_ztAM_74qZNITAE-Alw,Sports
UCQ1PA9Rj7x6ydublqYz_ZXA,Sports
UCKa1VlSq1WwdSQWv4JFdgxg,Sports
UC2dMZ0-RekJkm4dQYnraW7g,Sports
UC7L_11j3h-LAzN671GKFnsQ,Sports
UCIEmSQYznT9cuTZzBN-x3SQ,Sports
UCbf6IAYfPy8CwHVgcHbxmNw,Sports
UCqm35j3ustKFyXQVnX5tlXw,Sports
UCVuuT7x1BQsfljcWeL-VacA,Sports
UCa99s7Z2vv-5KNr-1Itvk6A,Sports
UCgIeUSV91-FfmCayG4lSBcw,Sports
UCWc-XpFHPK1SwGcvpFPZ8NA,Sports
UCW2pBx8MXfDCcwUfjLHMIFA,Sports
UClVxlTdjXCH02L9WtiPu_rg,Sports
UCgew41EnrAYSKKZmPhnm2ZA,Sports
UCJlavxr4G9OFkymtkbKZmOw,Sports
UCGynN2H7DcNjpN7Qng4dZmg,Sports
UCkRRvXs-Msk8elFSpMrhRRw,Sports
UC-GUnpgY8Er056ZUI_CdDOA,Sports
UCz6A-bktEcKGLil_do4Vqzw,Sports
UCWHkw0DdTCtbMpzeUkqtGRA,Sports
UCpj_nD9850tykDqIrjtIXdg,Sports
UCP4ORJd6Knja3kAL40F6YXg,Sports
UCCkQD7wgH7F5vGWeFieSqfQ,Sports
UC0v-pxTo1XamIDE-f__Ad0Q,Sports
UCeEw2Utee_-P8-KZYTzuUsw,Sports
UCCJel9mmTsxDU9RiCwdiLiA,Sports
UCFCtAX45lgHcf4s0vAgAxww,Sports
UCLOl-BrCoVqzSnBsjemMkeQ,Sports
UChjL85TQGI-6EYRkevIOgeA,Sports
UCVG4KpQRpA99jZk2hHZT9-Q,Sports
UCgr5CkgytiVfdnk4C0M42nQ,Sports
UCQwSBqzlAq-H7GPvv9Hr17A,Sports
UCQXwvYkiHyEfzV66-fols3w,Sports
UCb-slPqk-FYuoIUJbRBABRw,Sports
UCAWWDsFWX4lMuRtH46VYdIQ,Sports
UCJvVRCRWvzC3Cx2ZdIrvzXA,Sports
UCjq5kACCh5V056h3BoONBUA,Sports
UCfkM3u-0uSKADDitZLpXcfA,Sports
UCXxg0igSYUp0tqdd6luPEnQ,Sports
UCpRTROg3nHnOWVPVeMq4z_w,Sports
UCxRJdQ5hNtT5ZHzYB_RzGEA,Sports
UCT0x6RQTeoZByaYt_k1Ranw,Variety
UCtBnofpvdI3Fbn6f7QclmYQ,Variety
UC8embhEdS-QrY3K6XcoyyNg,Variety
UCBKqbSl9bK_ln9zZ-C5rP0Q,Variety
UC6VSFaHYbR-bhNer7DXxGNQ,Variety
UCpZnHxjKCAOm-FKPrYYi-LA,Variety
UCSmIO01FO8IxQo-6yL63BzA,Variety
UCRxPrFmRHsXGWfAyE6oqrPQ,Variety
UC_SAYuk_q3bVo9mRh--3Lhg,Variety
UCg_m2ahbG9grCTh05T9kRog,Variety
UCq3YtFr5JWvID4iK9HyrM3Q,Variety
UCibEhpu5HP45-w7Bq1ZIulw,Variety
UCCuizDTLsr-mNm_PEGdChVg,Variety
UCgMPP6RRjktV7krOfyUewqw,Variety
UCPyNsNSTUtywkekbDdCA_8Q,Variety
UCIOk-Q5kyDtSRaTIW7hIsng,Variety
UCI0xPNkgivK-FCcaCYDC8Yg,Variety
UCZf__ehlCEBPop-_sldpBUQ,Variety
UCaminwG9MTO4sLYeC3s6udA,Variety
UC1zsShDyJp8AafQu9BPo1PQ,Variety
UC642pLj4GXSj-0Ybdx3ytmA,Variety
UCFbp2XdRpKfk7mYt_uT8dxw,Variety
UCvtK7490fPF0TacbsvQ2H3g,Variety
UCFTVNLC7ysej-sD5lkLqNGA,Variety
UCzKa8fRPoCbKh8O9yW2JK2g,Variety
UCFBjsYvwX7kWUjQoW7GcJ5A,Variety
UCP-32CzsbLiiIb2LbYk8mZA,Variety
UCGonbgO3XUnqQhMthfZm1_A,Variety
UCxlsYyeri8MOpap3w3JbWSQ,Variety
UCJZVj2iBrdvbNc416i0V-UA,Variety
UCpOjLndjOqMoffA-fr8cbKA,Variety
UCNhplGFoeT_ylmw0MNP_LqA,Variety
UCaPJaMy0_OZlNjq7BVyTnkA,Variety
UCuAfP7BqBQa5lCGOXa1V88A,Variety
UCwN4CR-bDM9ZjvPhb44AfxQ,Variety
UCl4e200EZm7NXq_iaYSXfeg,Variety
UCQ_MqAw18jFTlBB-f8BP7dw,Variety
UCgQgMOBZOJ1ZDtCZ4hwP1uQ,Variety
UC3eTZ5Yld6qufD6rtEiERdw,Variety
UChdm3NwkRpuyCAxVRTzPQ9g,Variety
UCg4nOl7_gtStrLwF0_xoV0A,Variety
UColoXxvhfz54o0icqQRPzYw,Variety
UC8_wmm5DX9mb4jrLiw8ZYzw,Variety
UCljYHFazflmGaDr5Lo90KmA,Variety
UCEA8Umn4azMfY2-qic1lCOA,Variety
UCftut9Z6S48igRNSQRDpCCg,Variety
UCutJqz56653xV2wwSvut_hQ,Variety
UC6YD-hqIJ1UIOcVyQ07HGAw,Variety
UCjNrxV6lbQZHK8E5LfNHmUg,Variety
